period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last,timeout_taken
First_Period,8,0,12187,Swim_Off,381.0,78.0,1193.0,19519.0,1193.0,19519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Sava Randjelovic, Matthew Neser, Matthew Neser, , , , , , , , ,78,1193,1920,,,
First_Period,7,35,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25430.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Brett Sneddon, , , , ,78,1193,1895,1193.0,1920.0,
First_Period,7,13,12187,Shot,,,,,,,78.0,Regular_Attack,464.0,78.0,,False,False,False,0.438,0.121,0.282,0.895,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Jaksic, ,Luka Rajak, , , , , ,78,1193,1873,1193.0,1895.0,
First_Period,6,50,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25422.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Dean Sneddon, , , , ,78,1193,1850,78.0,1873.0,
First_Period,6,30,12187,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,,True,False,True,0.522,0.268,0.59,0.557,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic, , , , , , , ,78,1193,1830,1193.0,1850.0,
First_Period,6,3,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,5005.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Mangoba Bungane, , , , ,78,1193,1803,78.0,1830.0,
First_Period,5,54,12187,Shot,,,,,,,78.0,Regular_Attack,464.0,78.0,439.0,True,False,False,0.308,0.202,0.256,0.918,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Jaksic,Viktor Rasovic, , , , , , ,78,1193,1794,1193.0,1803.0,
First_Period,5,32,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25421.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Nathan Ward, , , , ,78,1193,1772,78.0,1794.0,
First_Period,5,18,12187,Shot,,,,,,,78.0,Regular_Attack,464.0,78.0,733.0,True,False,False,0.352,0.086,0.592,0.489,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Jaksic,Strahinja Rasovic, , , , , , ,78,1193,1758,1193.0,1772.0,
First_Period,5,2,12187,Shot,,,,,,,1193.0,Regular_Attack,19519.0,1193.0,,False,False,False,0.287,0.27,0.904,0.639,,,,,,,,,,,,,,,,,,,,,,,1193.0, , , , Matthew Neser, , , , , , , ,78,1193,1742,78.0,1758.0,
First_Period,4,43,12187,Shot,,,,,,,78.0,Penalty,496.0,78.0,,True,False,False,0.48,0.195,0.282,0.932,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic, , , , , , , ,78,1193,1723,1193.0,1742.0,
First_Period,4,43,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Penalty,25421.0,1193.0,1422.0,78.0,False,False,0.537,0.092,,78.0, , , , , , , , ,Nathan Ward,Nemanja Vico, ,78,1193,1723,78.0,1723.0,
First_Period,4,28,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25427.0,1193.0,464.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Kelly Geldenhuys,Nikola Jaksic, , , ,78,1193,1708,78.0,1723.0,
First_Period,4,12,12187,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,,True,False,False,0.62,0.268,0.741,0.974,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic, ,Luka Rajak, , , , , ,78,1193,1692,1193.0,1708.0,
First_Period,3,45,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25428.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Tristan Grimett, , , , ,78,1193,1665,78.0,1692.0,
First_Period,3,22,12187,Shot,,,,,,,78.0,Regular_Attack,1038.0,78.0,,False,False,False,0.415,0.122,0.387,0.514,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic, ,Luka Rajak, , , , , ,78,1193,1642,1193.0,1665.0,
First_Period,3,9,12187,Shot,,,,,,,78.0,Regular_Attack,1038.0,78.0,381.0,True,False,False,0.466,0.128,0.269,0.878,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic,Sava Randjelovic, , , , , , ,78,1193,1629,78.0,1642.0,
First_Period,2,37,12187,Shot,,,,,,,1193.0,Regular_Attack,25423.0,1193.0,,False,False,False,0.485,0.144,0.393,0.474,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Calvin Kuperus, ,Radoslav Filipovic, , , , , ,78,1193,1597,78.0,1629.0,
First_Period,2,19,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Penalty,25427.0,1193.0,1038.0,78.0,False,False,0.456,0.084,,78.0, , , , , , , , ,Kelly Geldenhuys,Nikola Murisic, ,78,1193,1579,1193.0,1597.0,
First_Period,2,19,12187,Shot,,,,,,,78.0,Penalty,1260.0,78.0,,True,False,False,0.497,0.205,0.655,0.929,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, ,Luka Rajak, , , , , ,78,1193,1579,78.0,1579.0,
First_Period,1,52,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25425.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Dylan Watt, , , , ,78,1193,1552,78.0,1579.0,
First_Period,1,37,12187,Shot,,,,,,,78.0,Regular_Attack,1260.0,78.0,,False,False,False,0.702,0.253,0.727,0.199,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, , , , , , , ,78,1193,1537,1193.0,1552.0,
First_Period,1,23,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25420.0,1193.0,1059.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Luka Rajak,Petar Jaksic, , , ,78,1193,1523,78.0,1537.0,
First_Period,1,7,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Lost_Ball,1059.0,78.0,25428.0,1193.0,,,,,,,,,,,,78.0, , , , , , ,Petar Jaksic,Tristan Grimett, , , ,78,1193,1507,1193.0,1523.0,
First_Period,1,2,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,5012.0,1193.0,1059.0,78.0,False,False,,,,78.0, , , , , , , , ,Ryan Sneddon,Petar Jaksic, ,78,1193,1502,78.0,1507.0,
First_Period,0,43,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,19519.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , , Matthew Neser, , , , ,78,1193,1483,78.0,1502.0,
First_Period,0,4,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25425.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Dylan Watt, , , , ,78,1193,1444,1193.0,1483.0,
Second_Period,8,0,12187,Swim_Off,1029.0,78.0,1193.0,5005.0,78.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Vasilije Martinovic,Mangoba Bungane,Vasilije Martinovic, , , , , , , , ,78,1193,1440,1193.0,1444.0,
Second_Period,7,47,12187,Shot,,,,,,,78.0,Regular_Attack,1029.0,78.0,1260.0,True,False,False,0.198,0.068,0.26,0.401,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Vasilije Martinovic,Boris Vapenski, , , , , , ,78,1193,1427,78.0,1440.0,
Second_Period,7,30,12187,Shot,,,,,,,78.0,Regular_Attack,1260.0,78.0,,False,False,False,0.835,0.128,0.798,0.662,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, ,Luka Rajak, , , , , ,78,1193,1410,78.0,1427.0,
Second_Period,7,9,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Exclusion,496.0,78.0,25430.0,1193.0,False,False,0.424,0.113,,1193.0, , , , , , , , ,Dusan Mandic,Brett Sneddon, ,78,1193,1389,78.0,1410.0,
Second_Period,6,51,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25423.0,1193.0,1260.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Calvin Kuperus,Boris Vapenski, , , ,78,1193,1371,1193.0,1389.0,
Second_Period,6,35,12187,Shot,,,,,,,78.0,Regular_Attack,1422.0,78.0,1260.0,True,False,False,0.428,0.108,,,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nemanja Vico,Boris Vapenski, , , , , , ,78,1193,1355,1193.0,1371.0,
Second_Period,6,12,12187,Shot,,,,,,,1193.0,Regular_Attack,25430.0,1193.0,,True,False,False,0.392,0.139,0.655,0.938,,,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Brett Sneddon, , , , , , , ,78,1193,1332,78.0,1355.0,
Second_Period,5,53,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Lost_Ball,1260.0,78.0,5005.0,1193.0,,,,,,,,,,,,78.0, , , , , , ,Boris Vapenski,Mangoba Bungane, , , ,78,1193,1313,1193.0,1332.0,
Second_Period,5,29,12187,Shot,,,,,,,1193.0,Regular_Attack,5005.0,1193.0,,False,False,True,0.491,0.306,0.315,0.861,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Mangoba Bungane, ,Radoslav Filipovic, , , , , ,78,1193,1289,78.0,1313.0,
Second_Period,5,10,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,5005.0,1193.0,1422.0,78.0,False,False,0.508,0.098,,78.0, , , , , , , , ,Mangoba Bungane,Nemanja Vico, ,78,1193,1270,1193.0,1289.0,
Second_Period,5,5,12187,Shot,,,,,,,78.0,Power_Play,464.0,78.0,,True,False,False,0.367,0.199,0.299,0.972,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Jaksic, , , , , , , ,78,1193,1265,78.0,1270.0,
Second_Period,4,41,12187,Shot,,,,,,,1193.0,Regular_Attack,19519.0,1193.0,,False,False,False,0.233,0.205,0.907,0.446,,,,,,,,,,,,,,,,,,,,,,,1193.0, , , , Matthew Neser, , , , , , , ,78,1193,1241,78.0,1265.0,
Second_Period,4,21,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,19519.0,1193.0,1260.0,78.0,False,False,0.661,0.116,,78.0, , , , , , , , , Matthew Neser,Boris Vapenski, ,78,1193,1221,1193.0,1241.0,
Second_Period,4,8,12187,Shot,,,,,,,78.0,Power_Play,1029.0,78.0,464.0,True,False,False,0.265,0.151,0.683,0.614,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Vasilije Martinovic,Nikola Jaksic, , , , , , ,78,1193,1208,78.0,1221.0,
Second_Period,3,32,12187,Shot,,,,,,,1193.0,Regular_Attack,5012.0,1193.0,,False,False,True,0.278,0.259,,,,,1059.0,78.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , ,Ryan Sneddon, , , , , , ,Petar Jaksic,78,1193,1172,78.0,1208.0,
Second_Period,3,18,12187,Shot,,,,,,,78.0,Regular_Attack,16.0,78.0,1059.0,True,False,False,0.424,0.257,0.821,0.858,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Milos Cuk,Petar Jaksic, , , , , , ,78,1193,1158,1193.0,1172.0,
Second_Period,2,49,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,5005.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Mangoba Bungane, , , , ,78,1193,1129,78.0,1158.0,
Second_Period,2,33,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,25421.0,1193.0,1038.0,78.0,False,False,0.487,0.097,,78.0, , , , , , , , ,Nathan Ward,Nikola Murisic, ,78,1193,1113,1193.0,1129.0,
Second_Period,2,31,12187,Shot,,,,,,,78.0,Power_Play,1038.0,78.0,16.0,True,False,False,0.519,0.093,0.517,0.58,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic,Milos Cuk, , , , , , ,78,1193,1111,78.0,1113.0,
Second_Period,2,19,12187,Shot,,,,,,,1193.0,Regular_Attack,25423.0,1193.0,,True,False,False,0.566,0.112,0.706,0.659,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Calvin Kuperus, ,Radoslav Filipovic, , , , , ,78,1193,1099,78.0,1111.0,
Second_Period,2,3,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Penalty,5012.0,1193.0,1059.0,78.0,False,False,0.722,0.105,,78.0, , , , , , , , ,Ryan Sneddon,Petar Jaksic, ,78,1193,1083,1193.0,1099.0,
Second_Period,2,3,12187,Shot,,,,,,,78.0,Penalty,16.0,78.0,,True,False,False,0.541,0.199,0.79,0.599,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Milos Cuk, , , , , , , ,78,1193,1083,78.0,1083.0,
Second_Period,1,42,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25422.0,1193.0,733.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Dean Sneddon,Strahinja Rasovic, , , ,78,1193,1062,78.0,1083.0,
Second_Period,1,18,12187,Shot,,,,,,,78.0,Regular_Attack,1038.0,78.0,,False,False,False,0.455,0.162,0.097,0.972,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic, , , , , , , ,78,1193,1038,1193.0,1062.0,
Second_Period,0,54,12187,Shot,,,,,,,1193.0,Regular_Attack,19519.0,1193.0,,False,False,False,0.83,0.185,0.804,0.92,718.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , , Matthew Neser, ,Radoslav Filipovic, , , , , ,78,1193,1014,78.0,1038.0,
Second_Period,0,37,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,19519.0,1193.0,16.0,78.0,,,,,,,,,,,,1193.0, , , , , , , Matthew Neser,Milos Cuk, , , ,78,1193,997,1193.0,1014.0,
Second_Period,0,19,12187,Shot,,,,,,,78.0,Regular_Attack,1059.0,78.0,,False,False,False,0.248,0.092,0.244,0.77,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Petar Jaksic, ,Luka Rajak, , , , , ,78,1193,979,1193.0,997.0,
Second_Period,0,16,12187,Shot,,,,,,,78.0,Regular_Attack,733.0,78.0,,False,False,False,0.555,0.19,0.673,0.702,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Strahinja Rasovic, ,Luka Rajak, , , , , ,78,1193,976,78.0,979.0,
Second_Period,0,8,12187,Shot,,,,,,,1193.0,Regular_Attack,5005.0,1193.0,,True,False,False,0.252,0.167,0.408,0.807,,,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Mangoba Bungane, , , , , , , ,78,1193,968,78.0,976.0,
Third_Period,8,0,12187,Swim_Off,1029.0,78.0,1193.0,19519.0,78.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Vasilije Martinovic, Matthew Neser,Vasilije Martinovic, , , , , , , , ,78,1193,960,1193.0,968.0,
Third_Period,7,41,12187,Shot,,,,,,,78.0,Regular_Attack,1260.0,78.0,,False,False,False,0.683,0.217,0.303,0.287,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, , , , , , , ,78,1193,941,78.0,960.0,
Third_Period,7,24,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Exclusion,1059.0,78.0,25430.0,1193.0,False,False,0.467,0.095,,1193.0, , , , , , , , ,Petar Jaksic,Brett Sneddon, ,78,1193,924,78.0,941.0,
Third_Period,7,8,12187,Shot,,,,,,,1193.0,Power_Play,25430.0,1193.0,,False,False,False,0.436,0.119,0.378,0.483,692.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Brett Sneddon, ,Lazar Dobozanov, , , , , ,78,1193,908,1193.0,924.0,
Third_Period,6,50,12187,Shot,,,,,,,78.0,Regular_Attack,1260.0,78.0,,False,False,False,0.692,0.202,0.284,0.304,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, , , , , , , ,78,1193,890,1193.0,908.0,
Third_Period,6,18,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Clock_Expired,25424.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Carl Germishuys, , , , ,78,1193,858,78.0,890.0,
Third_Period,5,58,12187,Shot,,,,,,,78.0,Regular_Attack,464.0,78.0,,False,False,False,0.457,0.33,0.844,0.938,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Jaksic, , , , , , , ,78,1193,838,1193.0,858.0,
Third_Period,5,38,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25423.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Calvin Kuperus, , , , ,78,1193,818,78.0,838.0,
Third_Period,5,26,12187,Shot,,,,,,,78.0,Regular_Attack,1422.0,78.0,,False,False,False,0.429,0.1,0.466,0.435,25429.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nemanja Vico, ,Matthew Smith, , , , , ,78,1193,806,1193.0,818.0,
Third_Period,5,17,12187,Shot,,,,,,,78.0,Regular_Attack,1260.0,78.0,,False,False,True,0.638,0.241,0.445,0.58,25429.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Boris Vapenski, ,Matthew Smith, , , , , ,78,1193,797,78.0,806.0,
Third_Period,5,11,12187,Shot,,,,,,,78.0,Regular_Attack,1029.0,78.0,,True,False,True,0.433,0.259,0.234,0.798,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Vasilije Martinovic, , , , , , , ,78,1193,791,78.0,797.0,
Third_Period,4,37,12187,Shot,,,,,,,78.0,Regular_Attack,439.0,78.0,,False,False,False,0.451,0.293,,,,,25427.0,1193.0,401.0,,,,,,,,,,,,,,,,,,78.0, , , ,Viktor Rasovic, , , , , , ,Kelly Geldenhuys,78,1193,757,78.0,791.0,
Third_Period,4,25,12187,Shot,,,,,,,78.0,Penalty,464.0,78.0,,True,False,False,0.516,0.205,0.338,0.955,25420.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Jaksic, ,Luka Rajak, , , , , ,78,1193,745,78.0,757.0,
Third_Period,4,25,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,25426.0,1193.0,1029.0,78.0,False,False,0.324,0.103,,78.0, , , , , , , , ,Matthew Bowers,Vasilije Martinovic, ,78,1193,745,78.0,745.0,
Third_Period,3,54,12187,Shot,,,,,,,1193.0,Regular_Attack,25422.0,1193.0,,False,False,False,0.676,0.323,0.677,0.682,692.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Dean Sneddon, ,Lazar Dobozanov, , , , , ,78,1193,714,78.0,745.0,
Third_Period,3,32,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Lost_Ball,1038.0,78.0,,,,,,,,,,,,,,78.0, , , , , , ,Nikola Murisic, , , , ,78,1193,692,1193.0,714.0,
Third_Period,3,6,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25422.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Dean Sneddon, , , , ,78,1193,666,78.0,692.0,
Third_Period,2,38,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Lost_Ball,1029.0,78.0,,,,,,,,,,,,,,78.0, , , , , , ,Vasilije Martinovic, , , , ,78,1193,638,1193.0,666.0,
Third_Period,2,18,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25428.0,1193.0,,,,,,,,,,,,,,1193.0, , , , , , ,Tristan Grimett, , , , ,78,1193,618,78.0,638.0,
Third_Period,2,7,12187,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,692.0,True,False,False,0.537,0.235,0.75,0.94,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic,Lazar Dobozanov, , , , , , ,78,1193,607,1193.0,618.0,
Third_Period,1,42,12187,Shot,,,,,,,1193.0,Regular_Attack,25421.0,1193.0,,False,False,False,0.846,0.258,0.904,0.952,,,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Nathan Ward, , , , , , , ,78,1193,582,78.0,607.0,
Third_Period,1,19,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Offensive_Foul,1038.0,78.0,,,,,,,,,,,,,,78.0, , , , , , ,Nikola Murisic, , , , ,78,1193,559,1193.0,582.0,
Third_Period,0,56,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25430.0,1193.0,381.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Brett Sneddon,Sava Randjelovic, , , ,78,1193,536,78.0,559.0,
Third_Period,0,45,12187,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,,True,True,False,0.793,0.142,0.773,0.875,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic, , , , , , , ,78,1193,525,1193.0,536.0,
Third_Period,0,18,12187,Shot,,,,,,,1193.0,Regular_Attack,25425.0,1193.0,,False,False,False,0.566,0.305,0.715,0.895,692.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Dylan Watt, ,Lazar Dobozanov, , , , , ,78,1193,498,78.0,525.0,
Third_Period,0,6,12187,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,,False,False,False,0.548,0.283,0.684,0.884,25429.0,1193.0,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic, ,Matthew Smith, , , , , ,78,1193,486,1193.0,498.0,
Fourth_Period,8,0,12187,Swim_Off,1029.0,78.0,1193.0,5005.0,78.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,Vasilije Martinovic,Mangoba Bungane,Vasilije Martinovic, , , , , , , , ,78,1193,480,78.0,486.0,
Fourth_Period,7,38,12187,Shot,,,,,,,78.0,Regular_Attack,1038.0,78.0,16.0,True,False,False,0.427,0.126,0.407,0.511,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic,Milos Cuk, , , , , , ,78,1193,458,78.0,480.0,
Fourth_Period,7,8,12187,Shot,,,,,,,1193.0,Regular_Attack,19519.0,1193.0,,False,False,False,0.625,0.259,0.338,0.514,692.0,78.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , , Matthew Neser, ,Lazar Dobozanov, , , , , ,78,1193,428,78.0,458.0,
Fourth_Period,6,49,12187,Shot,,,,,,,78.0,Regular_Attack,16.0,78.0,733.0,True,False,False,0.594,0.263,0.236,0.886,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Milos Cuk,Strahinja Rasovic, , , , , , ,78,1193,409,1193.0,428.0,
Fourth_Period,6,19,12187,Shot,,,,,,,1193.0,Regular_Attack,19519.0,1193.0,,False,False,False,0.761,0.283,,,,,733.0,78.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , , Matthew Neser, , , , , , ,Strahinja Rasovic,78,1193,379,78.0,409.0,
Fourth_Period,5,55,12187,Shot,,,,,,,78.0,Regular_Attack,1038.0,78.0,496.0,True,False,False,0.474,0.127,0.806,0.912,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic,Dusan Mandic, , , , , , ,78,1193,355,1193.0,379.0,
Fourth_Period,5,33,12187,Shot,,,,,,,1193.0,Regular_Attack,25426.0,1193.0,,False,False,False,0.83,0.208,,,,,733.0,78.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , ,Matthew Bowers, , , , , , ,Strahinja Rasovic,78,1193,333,78.0,355.0,
Fourth_Period,5,16,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,5005.0,1193.0,1038.0,78.0,False,False,0.524,0.068,,78.0, , , , , , , , ,Mangoba Bungane,Nikola Murisic, ,78,1193,316,1193.0,333.0,
Fourth_Period,5,9,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,1193.0, , , , , , , , , , , ,78,1193,309,78.0,316.0,1.0
Fourth_Period,5,9,12187,Shot,,,,,,,78.0,Power_Play,1038.0,78.0,16.0,True,False,False,0.561,0.103,0.492,0.384,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic,Milos Cuk, , , , , , ,78,1193,309,1193.0,309.0,
Fourth_Period,4,42,12187,Shot,,,,,,,1193.0,Regular_Attack,25430.0,1193.0,,False,False,False,0.696,0.126,,,,,16.0,78.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , ,Brett Sneddon, , , , , , ,Milos Cuk,78,1193,282,78.0,309.0,
Fourth_Period,4,25,12187,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,16.0,True,False,False,0.632,0.226,0.712,0.526,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic,Milos Cuk, , , , , , ,78,1193,265,1193.0,282.0,
Fourth_Period,4,3,12187,Shot,,,,,,,1193.0,Regular_Attack,19519.0,1193.0,,False,False,False,0.476,0.311,,,,,439.0,78.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , , Matthew Neser, , , , , , ,Viktor Rasovic,78,1193,243,78.0,265.0,
Fourth_Period,4,0,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,19519.0,1193.0,439.0,78.0,False,False,0.504,0.706,,78.0, , , , , , , , , Matthew Neser,Viktor Rasovic, ,78,1193,240,1193.0,243.0,
Fourth_Period,3,59,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0, , , , , , , , , , , ,78,1193,239,78.0,240.0,1.0
